building_id,bldg_name,use_type,use_sub,barangay,brgy_id,municipality,height_m,floors,area_sqm,cen_x,cen_y,ground_elev_m,dist_to_stp_m,required_depth_at_stp_m,sewer_feasibility,exclusion_reason,alternative_service
61329,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,27.19,593409.16,1066518.05,-0.32,1227.0,11.39,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60504,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,4.49,2,58.86,593417.56,1066421.92,0.23,1316.7,11.34,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60625,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,34.76,593357.8,1066596.02,-0.57,1170.4,11.32,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61465,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,4.74,2,66.56,593445.03,1066419.21,0.25,1312.0,11.3,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61712,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,97.82,593420.62,1066431.88,0.23,1306.2,11.28,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61234,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,13.65,593355.92,1066608.54,-0.58,1159.4,11.27,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61087,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,4.67,2,54.17,593364.66,1066584.18,-0.44,1179.0,11.24,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60736,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,206.01,593365.17,1066567.63,-0.33,1194.4,11.22,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61315,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,50.56,593418.96,1066503.54,-0.02,1238.0,11.15,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60891,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,4.49,2,104.21,593421.82,1066416.32,0.51,1320.9,11.09,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61742,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,4.8,2,12.66,593369.46,1066576.02,-0.22,1185.0,11.06,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61002,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,72.53,593362.45,1066589.78,-0.27,1174.6,11.05,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60150,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.98,2,45.76,593408.83,1066399.52,0.73,1340.6,10.98,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61077,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,47.2,593355.72,1066616.59,-0.32,1152.0,10.97,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61374,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,61.68,593419.93,1066510.28,0.12,1231.2,10.97,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60850,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,100.54,593415.26,1066519.62,0.1,1223.7,10.95,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61749,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,22.65,593358.86,1066601.31,-0.23,1165.1,10.95,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61864,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.52,2,67.27,593449.92,1066410.44,0.7,1319.3,10.89,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60338,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,2,64.63,593364.8,1066557.12,0.11,1204.4,10.83,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60659,,Commercial Establishments,Other Commercial,Poblacion II,32.0,Tagbilaran City,5.47,2,112.28,593462.11,1066417.26,0.72,1309.7,10.81,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60536,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,142.0,593437.0,1066408.2,1.0,1324.7,10.62,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61262,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,73.3,593455.09,1066399.68,1.19,1328.4,10.45,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60318,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,52.69,593360.9,1066605.78,0.32,1160.2,10.38,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
60501,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,4.88,2,12.43,593372.28,1066581.79,0.57,1178.6,10.23,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61757,,Commercial Establishments,Other Commercial,Poblacion II,32.0,Tagbilaran City,3.5,1,213.9,593464.24,1066406.92,1.39,1319.2,10.2,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61056,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,5.61,2,43.63,593439.45,1066467.49,1.13,1266.9,10.16,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61129,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,5.26,2,10.5,593376.06,1066571.19,0.92,1187.3,9.93,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61041,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.5,1,16.9,593364.18,1066597.7,1.31,1166.5,9.42,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
61686,,Residential,Other Residential,Poblacion II,32.0,Tagbilaran City,3.68,2,10.11,593362.86,1066610.73,1.63,1154.9,9.04,Non-Sewer,Excessive excavation depth (>6m),FSM (septic + desludging) or DEWATS
