building_id,zone_id,municipality,barangay,use_type,use_sub,sewer_status
37395,R1,Tagbilaran City,Booy,Commercial Establishments,Other Commercial,Served
37400,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37401,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37402,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37405,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37406,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37407,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37408,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37409,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37410,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37411,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37413,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37415,R1,Tagbilaran City,Booy,Residential,Subdivision / Gated Society,Served
37416,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37421,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37422,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37423,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37425,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37427,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37432,R1,Tagbilaran City,Booy,Residential,Subdivision / Gated Society,Served
37433,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37434,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37436,R1,Tagbilaran City,Booy,Commercial Establishments,Other Commercial,Served
37437,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37439,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37440,R1,Tagbilaran City,Booy,Commercial Establishments,Retail & Shopping,Served
37443,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37446,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37447,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37450,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37451,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37452,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37453,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37454,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37455,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37458,R1,Tagbilaran City,Booy,Residential,Subdivision / Gated Society,Served
37460,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37461,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37462,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37463,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
37469,R1,Tagbilaran City,Booy,Residential,Other Residential,Served
